Package,LibPath,Version,Priority,Built
desc,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.0,NA,3.5.0
digest,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6.17,NA,3.5.0
dplyr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7.6,NA,3.5.1
evaluate,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.11,NA,3.5.0
fansi,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.0,NA,3.5.0
forcats,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.0,NA,3.5.0
foreign,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8-70,recommended,3.5.1
fs,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.6,NA,3.5.0
ggplot2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.0.0,NA,3.5.0
gh,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.0
git2r,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.23.0,NA,3.5.0
glue,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.0,NA,3.5.0
graphics,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.1,base,3.5.1
grDevices,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.1,base,3.5.1
grid,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.1,base,3.5.1
gtable,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.0,NA,3.5.0
haven,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.2,NA,3.5.0
here,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1,NA,3.5.0
highr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7,NA,3.5.0
hms,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4.2,NA,3.5.0
htmltools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.6,NA,3.5.0
httr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.1,NA,3.5.0
ini,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.1,NA,3.5.0
jsonlite,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5,NA,3.5.0
KernSmooth,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.23-15,recommended,3.5.1
knitr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.20,NA,3.5.0
labeling,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3,NA,3.5.0
lattice,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.20-35,recommended,3.5.1
lazyeval,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.1,NA,3.5.0
lubridate,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.7.4,NA,3.5.0
magrittr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5,NA,3.5.0
markdown,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8,NA,3.5.0
MASS,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-50,recommended,3.5.1
Matrix,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2-14,recommended,3.5.1
methods,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.1,base,3.5.1
mgcv,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8-24,recommended,3.5.1
mime,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5,NA,3.5.0
modelr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.2,NA,3.5.0
munsell,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.0,NA,3.5.0
nlme,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.1-137,recommended,3.5.1
nnet,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-12,recommended,3.5.1
openssl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.2,NA,3.5.0
parallel,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.1,base,3.5.1
pillar,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.0,NA,3.5.0
pkgconfig,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.2,NA,3.5.0
plogr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.0,NA,3.5.0
plyr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8.4,NA,3.5.0
processx,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.2.0,NA,3.5.0
ps,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.0,NA,3.5.0
purrr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.5,NA,3.5.0
R6,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.3.0,NA,3.5.1
RColorBrewer,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-2,NA,3.5.0
Rcpp,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.12.19,NA,3.5.0
readr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.1,NA,3.5.0
readxl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.0,NA,3.5.0
rematch,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.0
reprex,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.1,NA,3.5.0
reshape2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.3,NA,3.5.0
rlang,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.2,NA,3.5.0
rmarkdown,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.10,NA,3.5.0
rpart,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.1-13,recommended,3.5.1
rprojroot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-2,NA,3.5.0
rstudioapi,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8,NA,3.5.0
rvest,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.2,NA,3.5.0
scales,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
selectr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4-1,NA,3.5.0
spatial,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-11,recommended,3.5.1
splines,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.1,base,3.5.1
srvyr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.3,NA,3.5.0
stats,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.1,base,3.5.1
stats4,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.1,base,3.5.1
stringi,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.4,NA,3.5.0
stringr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.1,NA,3.5.0
survey,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.33-2,NA,3.5.0
survival,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.42-3,recommended,3.5.1
tcltk,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.1,base,3.5.1
tibble,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.2,NA,3.5.0
tidyr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8.1,NA,3.5.0
tidyselect,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.4,NA,3.5.0
tidyverse,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.1,NA,3.5.0
tinytex,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8,NA,3.5.0
tools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.1,base,3.5.1
usethis,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.0,NA,3.5.0
utf8,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.4,NA,3.5.0
utils,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.1,base,3.5.1
viridisLite,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.0,NA,3.5.0
whisker,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3-2,NA,3.5.0
withr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1.2,NA,3.5.0
xfun,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3,NA,3.5.0
xml2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.0,NA,3.5.0
yaml,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.2.0,NA,3.5.0
